Age,Gender,Tribe,Father_Tribe,Mother_Tribe,Same_Tribe_Parents,Place_of_Birth,Current_Residence,Migrated,Number_of_Siblings,Lived_with_Grandparents,MT_Taught_in_School,Language_Spoken_by_Parents,Language_Spoken_with_Siblings,Ever_Visited_Village,Attended_Cultural_Meetings,Belongs_to_Cultural_Group,MT_Used_in_Church_or_Mosque,Knows_Songs_in_MT,Wants_Children_to_Speak_MT,MT_Proficiency,Cultural_Identity_Strength
10,Male,Fulani,Fulani,Fulani,Yes,Yaoundé,Maroua,Yes,3,No,No,Cameroonian Pidgin English,Fulfulde (mother tongue),Yes,No,Yes,Fulfulde,Yes,Yes,Minimal,Weak
9,Male,Bakweri,Bakweri,Fulani,No,South West,Douala,Yes,2,Yes,No,Mix of MT and English,English,Yes,No,Yes,Cameroonian Pidgin English,No,No,Minimal,Weak
12,Male,Bakweri,Bakweri,Bakweri,Yes,Buea,Douala,No,6,No,Yes,Cameroonian Pidgin English,English,Yes,No,No,Cameroonian Pidgin English,Yes,No,Minimal,Weak
10,Female,Bafut,Bafut,Bakweri,No,Littoral,Bafoussam,No,4,Yes,No,Bafut (mother tongue),Mix of Pidgin and French,No,Yes,No,Cameroonian Pidgin English,No,No,Basic,Weak
17,Male,Fulani,Fulani,Fulani,Yes,Bamenda,Douala,Yes,4,Yes,No,Fulfulde (mother tongue),Fulfulde (mother tongue),Yes,No,Yes,Arabic (Quran),Yes,Yes,Conversational,Moderate
19,Male,Meta,Meta,Bakweri,No,Littoral,Bafoussam,Yes,4,No,No,Cameroonian Pidgin English,Mix of MT and Pidgin,Yes,Yes,Yes,Meta (mother tongue),Yes,Yes,Minimal,Strong
4,Female,Meta,Meta,Meta,Yes,Littoral,Meta Village,Yes,2,Yes,No,Meta (mother tongue),Meta (mother tongue),No,Yes,No,English,No,Yes,Basic,Weak
5,Female,Meta,Meta,Meta,Yes,South West,Yaoundé,No,2,Yes,No,English,Meta (mother tongue),Yes,No,No,Meta (mother tongue),No,Yes,Basic,Weak
24,Female,Bafut,Bafut,Fulani,No,Bamenda,Yaoundé,No,3,Yes,No,French,English,No,No,Yes,Bafut (mother tongue),Yes,No,Minimal,Weak
4,Male,Fulani,Fulani,Fulani,Yes,Douala,Douala,Yes,6,No,No,Hausa,Fulfulde (mother tongue),Yes,Yes,Yes,Arabic (Quran),Yes,Yes,Minimal,Moderate
18,Male,Bakweri,Bakweri,Fulani,No,Douala,Douala,No,3,Yes,No,Mokpwe (mother tongue),Mix of MT and English,No,No,Yes,Mokpwe (mother tongue),Yes,No,Basic,Weak
11,Male,Fulani,Fulani,Fulani,Yes,North,Fulani Camp,Yes,1,No,No,Fulfulde (mother tongue),Fulfulde (mother tongue),No,Yes,No,Fulfulde,Yes,No,Basic,Weak
16,Male,Fulani,Fulani,Fulani,Yes,Yaoundé,Maroua,No,6,No,No,Fulfulde (mother tongue),Cameroonian Pidgin English,Yes,No,Yes,Fulfulde,No,Yes,Basic,Weak
9,Male,Meta,Meta,Meta,Yes,Douala,Meta Village,Yes,4,Yes,No,Meta (mother tongue),Meta (mother tongue),No,Yes,Yes,French,No,No,Conversational,Moderate
18,Female,Bafut,Bafut,Bafut,Yes,Yaoundé,Bafoussam,Yes,3,Yes,No,French,Mix of MT and French,No,No,Yes,French,No,No,Minimal,Weak
15,Male,Bafut,Bafut,Bafut,Yes,South West,Yaoundé,Yes,4,Yes,No,Bafut (mother tongue),Cameroonian Pidgin English,Yes,No,Yes,Cameroonian Pidgin English,No,No,Basic,Moderate
11,Female,Bakweri,Bakweri,Meta,No,South West,Bakweri Village,No,7,No,No,Mix of MT and Pidgin,Mix of Pidgin and English,No,Yes,Yes,English,No,No,Minimal,Moderate
5,Female,Fulani,Fulani,Fulani,Yes,Buea,Maroua,Yes,6,Yes,No,Cameroonian Pidgin English,French,Yes,Yes,Yes,Does not attend,Yes,Yes,Basic,Strong
14,Male,Bakweri,Bakweri,Bakweri,Yes,Douala,Buea,Yes,7,Yes,No,Mokpwe (mother tongue),French,Yes,Yes,No,French,No,No,Basic,Weak
16,Female,Bakweri,Bakweri,Bafut,No,South West,Douala,Yes,6,No,No,Cameroonian Pidgin English,Mokpwe (mother tongue),Yes,No,No,Cameroonian Pidgin English,Yes,No,None,Weak
20,Female,Bafut,Bafut,Bafut,Yes,Yaoundé,Bafut Village,No,2,No,No,Bafut (mother tongue),Mix of MT and Pidgin,Yes,No,No,English,Yes,Yes,Basic,Weak
7,Female,Fulani,Fulani,Fulani,Yes,Buea,Garoua,No,6,Yes,No,Fulfulde (mother tongue),Fulfulde (mother tongue),Yes,No,No,Fulfulde,Yes,Yes,Fluent,Weak
12,Female,Bafut,Bafut,Bakweri,No,Yaoundé,Bamenda,No,0,No,No,Bafut (mother tongue),French,No,No,No,French,Yes,No,Minimal,Detached
10,Female,Fulani,Fulani,Fulani,Yes,Yaoundé,Maroua,Yes,8,Yes,No,Cameroonian Pidgin English,Fulfulde (mother tongue),No,No,No,Does not attend,No,Yes,Minimal,Detached
13,Male,Bafut,Bafut,Bafut,Yes,Centre,Bafut Village,No,4,Yes,No,Bafut (mother tongue),Mix of MT and Pidgin,Yes,Yes,No,Bafut (mother tongue),Yes,No,Conversational,Moderate
21,Male,Fulani,Fulani,Fulani,Yes,Yaoundé,Douala,Yes,5,Yes,No,Fulfulde (mother tongue),Fulfulde (mother tongue),No,No,Yes,Arabic (Quran),Yes,Yes,Conversational,Weak
18,Male,Meta,Meta,Bakweri,No,Bamenda,Meta Village,No,4,Yes,No,Meta (mother tongue),Mix of Pidgin and French,Yes,Yes,Yes,Cameroonian Pidgin English,Yes,No,Fluent,Strong
18,Female,Bafut,Bafut,Fulani,No,South West,Bamenda,No,4,No,No,Bafut (mother tongue),Bafut (mother tongue),No,Yes,No,Cameroonian Pidgin English,Yes,Yes,Basic,Weak
16,Male,Fulani,Fulani,Fulani,Yes,Centre,Douala,No,8,Yes,No,Fulfulde (mother tongue),Fulfulde (mother tongue),No,Yes,No,Does not attend,No,Yes,Conversational,Weak
7,Male,Fulani,Fulani,Fulani,Yes,Douala,Ngaoundéré,Yes,4,No,No,Fulfulde (mother tongue),Fulfulde (mother tongue),Yes,Yes,No,Arabic (Quran),Yes,Yes,Basic,Moderate
11,Male,Bakweri,Bakweri,Bafut,No,Douala,Douala,No,3,No,No,Mix of MT and English,Mokpwe (mother tongue),No,No,No,French,Yes,Yes,None,Detached
21,Female,Bakweri,Bakweri,Meta,No,Centre,Buea,Yes,2,No,No,Mokpwe (mother tongue),Mix of MT and English,Yes,No,No,Mokpwe (mother tongue),No,Yes,None,Detached
23,Female,Bakweri,Bakweri,Meta,No,North West,Limbe,Yes,2,No,No,French,Mix of Pidgin and English,Yes,No,No,Mokpwe (mother tongue),No,Yes,None,Detached
21,Female,Meta,Meta,Meta,Yes,Littoral,Bafoussam,No,2,Yes,No,Meta (mother tongue),English,No,Yes,Yes,French,Yes,Yes,Conversational,Moderate
19,Female,Bakweri,Bakweri,Fulani,No,Buea,Buea,Yes,1,No,No,Mix of Pidgin and English,Mokpwe (mother tongue),No,No,No,English,No,Yes,None,Detached
22,Male,Bafut,Bafut,Bafut,Yes,Yaoundé,Bafut Village,Yes,5,Yes,Yes,Mix of MT and French,Bafut (mother tongue),Yes,No,Yes,Bafut (mother tongue),No,Yes,Basic,Moderate
10,Male,Meta,Meta,Meta,Yes,South West,Meta Village,Yes,2,No,No,French,English,No,Yes,No,Cameroonian Pidgin English,No,Yes,None,Weak
11,Female,Bakweri,Bakweri,Bakweri,Yes,Yaoundé,Douala,No,0,No,Yes,Mix of Pidgin and English,Mix of Pidgin and English,No,No,No,Cameroonian Pidgin English,No,Yes,None,Detached
23,Male,Bakweri,Bakweri,Bakweri,Yes,Bamenda,Buea,Yes,2,No,No,Mokpwe (mother tongue),Mix of MT and English,No,Yes,No,English,No,No,Minimal,Weak
12,Female,Bafut,Bafut,Meta,No,Bamenda,Yaoundé,Yes,3,Yes,No,Bafut (mother tongue),Bafut (mother tongue),No,No,No,English,Yes,Yes,Basic,Weak
23,Female,Bafut,Bafut,Meta,No,Douala,Douala,Yes,5,No,No,Bafut (mother tongue),Cameroonian Pidgin English,Yes,No,Yes,French,Yes,No,Minimal,Weak
13,Female,Bakweri,Bakweri,Meta,No,North West,Limbe,No,5,No,No,Mix of MT and English,Mokpwe (mother tongue),Yes,No,No,Mokpwe (mother tongue),No,Yes,Minimal,Detached
12,Male,Bakweri,Bakweri,Bafut,No,Littoral,Bakweri Village,Yes,2,No,No,Mix of MT and Pidgin,Mix of Pidgin and English,No,No,Yes,French,No,Yes,None,Detached
7,Male,Meta,Meta,Meta,Yes,Centre,Bafoussam,Yes,3,Yes,No,Meta (mother tongue),French,Yes,Yes,No,Cameroonian Pidgin English,No,Yes,Basic,Weak
9,Male,Fulani,Fulani,Fulani,Yes,Adamawa,Ngaoundéré,Yes,2,Yes,No,Fulfulde (mother tongue),Fulfulde (mother tongue),Yes,No,Yes,Arabic (Quran),No,Yes,Conversational,Weak
22,Female,Meta,Meta,Meta,Yes,Yaoundé,Douala,No,3,No,No,Meta (mother tongue),Meta (mother tongue),Yes,No,Yes,French,Yes,No,Conversational,Moderate
5,Male,Fulani,Fulani,Meta,No,Buea,Fulani Camp,Yes,5,Yes,No,Hausa,Fulfulde (mother tongue),Yes,No,No,Fulfulde,Yes,No,Basic,Weak
11,Male,Meta,Meta,Bafut,No,North West,Bamenda,No,2,No,No,Meta (mother tongue),Meta (mother tongue),No,No,Yes,Meta (mother tongue),No,Yes,Basic,Weak
15,Male,Bakweri,Bakweri,Bakweri,Yes,Yaoundé,Bakweri Village,No,2,No,No,Mix of MT and English,Cameroonian Pidgin English,No,No,No,Cameroonian Pidgin English,No,No,None,Detached
6,Male,Bafut,Bafut,Bafut,Yes,Littoral,Bafut Village,No,2,No,No,Mix of MT and French,Bafut (mother tongue),No,No,Yes,English,Yes,No,Basic,Weak
22,Male,Fulani,Fulani,Fulani,Yes,Buea,Garoua,Yes,5,Yes,No,Fulfulde (mother tongue),Fulfulde (mother tongue),No,Yes,No,French,No,Yes,Conversational,Weak
15,Female,Bafut,Bafut,Bafut,Yes,Bamenda,Douala,No,4,No,No,Bafut (mother tongue),Mix of MT and French,No,No,No,English,Yes,Yes,Minimal,Detached
20,Male,Bafut,Bafut,Meta,No,Yaoundé,Bafut Village,No,5,No,No,Bafut (mother tongue),English,No,Yes,No,English,No,No,Minimal,Detached
6,Male,Bafut,Bafut,Bafut,Yes,North West,Bafut Village,No,3,No,No,Mix of MT and French,Bafut (mother tongue),Yes,Yes,Yes,Cameroonian Pidgin English,Yes,Yes,Basic,Strong
19,Female,Bafut,Bafut,Bafut,Yes,South West,Douala,No,2,No,No,Mix of Pidgin and French,English,Yes,Yes,No,Cameroonian Pidgin English,No,Yes,None,Weak
15,Male,Fulani,Fulani,Bafut,No,Buea,Fulani Camp,No,5,No,No,Fulfulde (mother tongue),French,Yes,Yes,Yes,Arabic (Quran),No,Yes,Conversational,Moderate
12,Male,Fulani,Fulani,Fulani,Yes,Littoral,Douala,No,5,No,No,Fulfulde (mother tongue),Fulfulde (mother tongue),No,No,Yes,Arabic (Quran),Yes,No,Conversational,Weak
16,Male,Bafut,Bafut,Bafut,Yes,Buea,Bafoussam,Yes,3,No,No,Bafut (mother tongue),Bafut (mother tongue),No,Yes,No,English,Yes,No,Basic,Weak
14,Female,Fulani,Fulani,Fulani,Yes,Yaoundé,Douala,No,7,Yes,No,Fulfulde (mother tongue),Fulfulde (mother tongue),Yes,No,Yes,Does not attend,Yes,Yes,Fluent,Moderate
19,Female,Bafut,Bafut,Fulani,No,South West,Douala,Yes,6,Yes,Yes,English,Mix of MT and French,Yes,Yes,Yes,English,No,Yes,Basic,Moderate
24,Male,Meta,Meta,Meta,Yes,Bamenda,Bamenda,No,4,Yes,No,Meta (mother tongue),Mix of MT and Pidgin,Yes,No,Yes,Cameroonian Pidgin English,No,Yes,Conversational,Moderate
9,Male,Bafut,Bafut,Meta,No,North West,Douala,Yes,3,Yes,No,Mix of MT and French,Mix of MT and Pidgin,Yes,Yes,No,Bafut (mother tongue),Yes,No,Minimal,Moderate
13,Male,Bafut,Bafut,Bafut,Yes,Yaoundé,Bamenda,No,5,No,Yes,Bafut (mother tongue),Bafut (mother tongue),No,Yes,No,English,Yes,Yes,Basic,Weak
5,Female,Fulani,Fulani,Fulani,Yes,Far North,Ngaoundéré,Yes,6,No,No,Fulfulde (mother tongue),Fulfulde (mother tongue),Yes,No,Yes,Fulfulde,Yes,Yes,Conversational,Moderate
12,Male,Fulani,Fulani,Fulani,Yes,Douala,Yaoundé,Yes,6,Yes,No,Fulfulde (mother tongue),Fulfulde (mother tongue),Yes,No,Yes,Arabic (Quran),Yes,Yes,Conversational,Moderate
5,Male,Bafut,Bafut,Bafut,Yes,South West,Bafoussam,No,1,No,No,Bafut (mother tongue),French,No,No,Yes,French,Yes,Yes,Basic,Weak
6,Female,Meta,Meta,Meta,Yes,Centre,Yaoundé,No,2,No,No,Mix of MT and Pidgin,Mix of Pidgin and French,Yes,No,Yes,Cameroonian Pidgin English,No,Yes,Minimal,Weak
23,Female,Meta,Meta,Meta,Yes,Douala,Yaoundé,No,3,No,No,Mix of MT and French,Mix of Pidgin and French,No,Yes,No,French,Yes,No,Minimal,Weak
24,Female,Fulani,Fulani,Fulani,Yes,Bamenda,Douala,No,4,No,No,Fulfulde (mother tongue),Fulfulde (mother tongue),Yes,Yes,Yes,Hausa,No,Yes,Conversational,Moderate
10,Male,Bafut,Bafut,Bafut,Yes,Buea,Bamenda,No,6,No,No,Bafut (mother tongue),Bafut (mother tongue),Yes,No,Yes,Bafut (mother tongue),No,Yes,Basic,Weak
4,Male,Bakweri,Bakweri,Bafut,No,South West,Bakweri Village,Yes,6,No,No,Mokpwe (mother tongue),English,No,Yes,Yes,French,Yes,Yes,Basic,Moderate
8,Male,Fulani,Fulani,Fulani,Yes,Yaoundé,Ngaoundéré,Yes,2,No,No,Fulfulde (mother tongue),Fulfulde (mother tongue),Yes,Yes,No,Arabic (Quran),Yes,Yes,Basic,Moderate
4,Male,Bafut,Bafut,Bafut,Yes,North West,Bafoussam,No,3,No,No,Bafut (mother tongue),Bafut (mother tongue),Yes,Yes,Yes,Cameroonian Pidgin English,No,Yes,Basic,Moderate
20,Male,Fulani,Fulani,Fulani,Yes,Bamenda,Maroua,No,2,No,No,Mix of Fulfulde and Arabic,Fulfulde (mother tongue),No,No,Yes,French,Yes,No,Minimal,Weak
19,Female,Meta,Meta,Fulani,No,Yaoundé,Meta Village,No,4,No,No,Mix of MT and French,Cameroonian Pidgin English,Yes,No,Yes,Meta (mother tongue),Yes,Yes,Minimal,Weak
4,Male,Bakweri,Bakweri,Meta,No,Yaoundé,Limbe,Yes,3,Yes,No,English,Mix of MT and English,Yes,No,Yes,French,Yes,Yes,Minimal,Moderate
20,Female,Bafut,Bafut,Bafut,Yes,North West,Bamenda,No,5,No,No,Bafut (mother tongue),Mix of MT and French,Yes,No,No,French,Yes,No,Minimal,Detached
13,Male,Meta,Meta,Meta,Yes,Yaoundé,Meta Village,Yes,4,Yes,No,Meta (mother tongue),English,No,Yes,Yes,Cameroonian Pidgin English,No,Yes,Basic,Moderate
7,Female,Bakweri,Bakweri,Fulani,No,Buea,Douala,Yes,3,No,No,French,Mokpwe (mother tongue),Yes,No,Yes,English,Yes,No,Minimal,Moderate
6,Female,Bafut,Bafut,Meta,No,Littoral,Bafut Village,Yes,0,No,No,Bafut (mother tongue),Bafut (mother tongue),No,Yes,Yes,French,Yes,No,Basic,Moderate
7,Male,Bafut,Bafut,Fulani,No,North West,Bafut Village,Yes,3,Yes,No,French,Cameroonian Pidgin English,Yes,Yes,No,Cameroonian Pidgin English,Yes,No,Minimal,Moderate
16,Female,Bafut,Bafut,Bakweri,No,North West,Bafoussam,Yes,3,Yes,Yes,Mix of Pidgin and French,Mix of MT and French,Yes,Yes,No,English,No,No,Minimal,Moderate
18,Female,Bafut,Bafut,Bafut,Yes,South West,Bafoussam,Yes,4,No,No,Bafut (mother tongue),French,Yes,Yes,Yes,English,Yes,Yes,Basic,Strong
15,Male,Fulani,Fulani,Fulani,Yes,Douala,Maroua,Yes,4,No,No,Fulfulde (mother tongue),Fulfulde (mother tongue),Yes,No,Yes,French,Yes,Yes,Basic,Moderate
24,Female,Fulani,Fulani,Fulani,Yes,Centre,Ngaoundéré,Yes,5,Yes,No,Fulfulde (mother tongue),Fulfulde (mother tongue),Yes,Yes,No,Arabic (Quran),No,Yes,Conversational,Moderate
22,Female,Bafut,Bafut,Bafut,Yes,North West,Bafut Village,No,3,Yes,No,English,English,No,Yes,No,French,Yes,No,Basic,Weak
12,Female,Meta,Meta,Meta,Yes,Centre,Bamenda,No,3,No,No,Mix of MT and Pidgin,Meta (mother tongue),Yes,No,No,Meta (mother tongue),No,Yes,Minimal,Detached
19,Male,Bafut,Bafut,Bafut,Yes,South West,Yaoundé,No,2,Yes,Yes,French,Mix of MT and French,No,No,No,English,No,Yes,Minimal,Detached
8,Female,Fulani,Fulani,Fulani,Yes,North,Fulani Camp,Yes,5,No,No,Fulfulde (mother tongue),Fulfulde (mother tongue),Yes,Yes,Yes,Hausa,Yes,Yes,Conversational,Strong
15,Male,Bakweri,Bakweri,Fulani,No,Centre,Buea,Yes,4,No,Yes,English,Mokpwe (mother tongue),Yes,Yes,Yes,English,Yes,No,Basic,Moderate
8,Female,Meta,Meta,Fulani,No,Littoral,Bamenda,Yes,4,Yes,No,Meta (mother tongue),Meta (mother tongue),Yes,No,No,French,Yes,No,Basic,Weak
21,Male,Bakweri,Bakweri,Fulani,No,Bamenda,Douala,No,3,No,No,Mokpwe (mother tongue),French,Yes,Yes,Yes,French,No,Yes,Basic,Moderate
21,Female,Fulani,Fulani,Fulani,Yes,Bamenda,Maroua,Yes,5,No,No,Fulfulde (mother tongue),Cameroonian Pidgin English,Yes,Yes,Yes,French,Yes,Yes,Conversational,Moderate
18,Male,Bakweri,Bakweri,Bakweri,Yes,Bamenda,Limbe,No,1,No,No,Mokpwe (mother tongue),Mix of Pidgin and English,No,No,Yes,Mokpwe (mother tongue),No,Yes,Minimal,Weak
9,Male,Bafut,Bafut,Fulani,No,Centre,Bafoussam,No,2,No,Yes,Bafut (mother tongue),Bafut (mother tongue),Yes,No,Yes,Bafut (mother tongue),Yes,Yes,Conversational,Weak
18,Female,Fulani,Fulani,Fulani,Yes,Douala,Fulani Camp,Yes,4,Yes,No,Fulfulde (mother tongue),Fulfulde (mother tongue),No,Yes,Yes,Fulfulde,No,Yes,Conversational,Moderate
16,Female,Bakweri,Bakweri,Bafut,No,South West,Yaoundé,No,3,No,No,French,Cameroonian Pidgin English,Yes,No,No,Mokpwe (mother tongue),No,Yes,None,Detached
4,Female,Bafut,Bafut,Fulani,No,Yaoundé,Bafut Village,Yes,3,Yes,No,Bafut (mother tongue),Bafut (mother tongue),No,Yes,No,English,No,No,Conversational,Weak
4,Female,Bakweri,Bakweri,Bafut,No,South West,Limbe,Yes,5,No,No,Mix of Pidgin and English,Mokpwe (mother tongue),No,No,Yes,Cameroonian Pidgin English,No,No,Minimal,Detached
24,Male,Meta,Meta,Meta,Yes,Douala,Douala,Yes,0,Yes,No,Cameroonian Pidgin English,Mix of MT and Pidgin,Yes,Yes,No,French,Yes,No,Minimal,Moderate
17,Female,Meta,Meta,Bakweri,No,Littoral,Bamenda,No,3,Yes,No,Meta (mother tongue),Mix of MT and Pidgin,Yes,Yes,No,Meta (mother tongue),Yes,Yes,Conversational,Moderate
24,Male,Bakweri,Bakweri,Bakweri,Yes,Yaoundé,Bakweri Village,Yes,4,No,No,Mokpwe (mother tongue),English,Yes,No,No,English,Yes,Yes,Minimal,Weak
5,Male,Fulani,Fulani,Fulani,Yes,Douala,Maroua,Yes,6,No,No,Fulfulde (mother tongue),Fulfulde (mother tongue),No,Yes,Yes,French,Yes,Yes,Basic,Moderate
17,Male,Bakweri,Bakweri,Bakweri,Yes,Bamenda,Yaoundé,Yes,3,No,No,Mokpwe (mother tongue),Cameroonian Pidgin English,Yes,Yes,No,Cameroonian Pidgin English,No,No,Minimal,Weak
9,Male,Bakweri,Bakweri,Fulani,No,Buea,Bakweri Village,Yes,2,Yes,No,English,Mix of Pidgin and English,Yes,Yes,No,Mokpwe (mother tongue),Yes,Yes,Minimal,Moderate
5,Female,Fulani,Fulani,Bafut,No,Bamenda,Douala,Yes,6,Yes,No,Fulfulde (mother tongue),Fulfulde (mother tongue),No,Yes,No,Fulfulde,Yes,Yes,Basic,Moderate
9,Male,Bakweri,Bakweri,Bakweri,Yes,North West,Buea,Yes,3,No,No,Mokpwe (mother tongue),French,Yes,Yes,No,English,No,Yes,Minimal,Weak
8,Female,Bafut,Bafut,Bakweri,No,Littoral,Bamenda,No,3,No,No,Bafut (mother tongue),French,No,No,No,English,Yes,Yes,Minimal,Detached
13,Male,Bakweri,Bakweri,Bafut,No,Yaoundé,Yaoundé,Yes,1,No,No,Mokpwe (mother tongue),Mix of MT and Pidgin,No,No,Yes,Mix of MT and English,No,Yes,Minimal,Detached
19,Female,Meta,Meta,Meta,Yes,North West,Bafoussam,Yes,0,Yes,Yes,Meta (mother tongue),French,No,No,No,English,Yes,Yes,Basic,Weak
13,Male,Meta,Meta,Meta,Yes,Buea,Bamenda,No,3,No,No,Meta (mother tongue),English,Yes,No,No,Mix of MT and Pidgin,Yes,Yes,Minimal,Weak
23,Male,Bakweri,Bakweri,Meta,No,Centre,Buea,No,1,No,No,Mix of Pidgin and English,Mix of Pidgin and English,Yes,No,No,English,No,Yes,None,Detached
7,Male,Meta,Meta,Fulani,No,Yaoundé,Bafoussam,No,5,No,No,Cameroonian Pidgin English,Cameroonian Pidgin English,Yes,No,Yes,Meta (mother tongue),Yes,No,Minimal,Moderate
20,Female,Bafut,Bafut,Bafut,Yes,Littoral,Bafut Village,No,4,Yes,No,Bafut (mother tongue),Mix of MT and Pidgin,Yes,Yes,No,French,No,Yes,Conversational,Weak
7,Male,Bafut,Bafut,Bafut,Yes,Centre,Douala,No,5,No,No,Bafut (mother tongue),Mix of MT and Pidgin,Yes,No,No,French,No,Yes,Minimal,Detached
18,Male,Bafut,Bafut,Fulani,No,South West,Bamenda,No,2,No,No,Bafut (mother tongue),Bafut (mother tongue),Yes,Yes,No,Bafut (mother tongue),Yes,Yes,Basic,Moderate
22,Female,Meta,Meta,Meta,Yes,South West,Douala,No,3,Yes,Yes,Meta (mother tongue),French,No,No,No,Meta (mother tongue),No,Yes,Basic,Detached
24,Female,Bafut,Bafut,Bafut,Yes,Littoral,Douala,Yes,2,No,No,Cameroonian Pidgin English,Mix of MT and French,Yes,No,No,English,No,Yes,None,Detached
17,Female,Meta,Meta,Meta,Yes,Centre,Meta Village,Yes,4,No,No,English,Meta (mother tongue),No,Yes,No,English,No,Yes,None,Detached
22,Male,Bakweri,Bakweri,Bakweri,Yes,South West,Yaoundé,No,5,Yes,No,Mokpwe (mother tongue),Mokpwe (mother tongue),Yes,No,No,English,No,Yes,Conversational,Detached
8,Female,Meta,Meta,Meta,Yes,Littoral,Bamenda,No,2,No,No,Meta (mother tongue),Meta (mother tongue),Yes,No,Yes,French,Yes,Yes,Conversational,Weak
5,Female,Bafut,Bafut,Bakweri,No,South West,Yaoundé,No,1,Yes,No,Bafut (mother tongue),Cameroonian Pidgin English,Yes,No,No,Bafut (mother tongue),No,No,Basic,Weak
24,Male,Meta,Meta,Meta,Yes,South West,Yaoundé,No,7,Yes,No,French,Mix of Pidgin and French,Yes,Yes,No,Meta (mother tongue),Yes,No,Basic,Moderate
15,Male,Fulani,Fulani,Fulani,Yes,Douala,Yaoundé,Yes,2,No,No,Fulfulde (mother tongue),Fulfulde (mother tongue),No,Yes,Yes,Arabic (Quran),Yes,Yes,Conversational,Moderate
11,Male,Bakweri,Bakweri,Fulani,No,Yaoundé,Yaoundé,No,3,No,No,Mix of MT and Pidgin,Mix of Pidgin and English,No,Yes,No,Cameroonian Pidgin English,No,Yes,None,Weak
15,Male,Bakweri,Bakweri,Bakweri,Yes,Centre,Buea,No,2,No,No,Mix of MT and English,Mix of MT and English,Yes,Yes,No,French,Yes,Yes,Minimal,Moderate
19,Female,Fulani,Fulani,Fulani,Yes,Bamenda,Douala,Yes,6,No,No,Fulfulde (mother tongue),Fulfulde (mother tongue),No,Yes,Yes,Fulfulde,Yes,Yes,Basic,Moderate
23,Female,Fulani,Fulani,Fulani,Yes,North,Maroua,No,4,Yes,No,Fulfulde (mother tongue),Fulfulde (mother tongue),Yes,No,Yes,Arabic (Quran),Yes,Yes,Fluent,Moderate
12,Male,Meta,Meta,Bafut,No,Littoral,Douala,Yes,4,No,No,Meta (mother tongue),French,Yes,Yes,No,Meta (mother tongue),Yes,No,Minimal,Moderate
19,Female,Fulani,Fulani,Fulani,Yes,Yaoundé,Ngaoundéré,Yes,0,No,No,Fulfulde (mother tongue),Fulfulde (mother tongue),Yes,Yes,No,Fulfulde,Yes,Yes,Basic,Moderate
19,Male,Bakweri,Bakweri,Bakweri,Yes,Yaoundé,Bakweri Village,Yes,3,No,No,English,English,Yes,No,No,Mokpwe (mother tongue),No,Yes,None,Detached
